Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764216199,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764216200,50,,Aggregated,0.000000,0.000000,390,420,460,480,520,560,590,610,610,610,610,87,0,390.0,335.3077429310344,48.88849499999992,606.2604009999999,632.5057471264367
1764216201,100,,Aggregated,0.000000,0.000000,400,490,570,610,780,860,920,930,940,940,940,187,0,400.0,405.5513587379677,48.88849499999992,936.2389970000003,630.2780748663101
1764216202,150,,Aggregated,81.000000,0.000000,500,590,690,700,720,820,900,920,940,940,940,288,0,500.0,478.5708674131943,48.88849499999992,936.2389970000003,628.0208333333334
1764216203,200,,Aggregated,89.500000,0.000000,560,700,730,900,1400,1600,1700,1700,1700,1700,1700,389,0,560.0,652.1280168123392,48.88849499999992,1733.2161120000005,621.6812339331619
1764216204,250,,Aggregated,94.000000,0.000000,690,910,1000,1000,1300,1500,1700,1700,2000,2000,2000,489,0,690.0,725.091146042945,48.88849499999992,1986.6123160000004,618.8261758691207
1764216205,300,,Aggregated,95.250000,0.000000,760,1000,1300,1400,1700,2200,2300,2400,2400,2400,2400,591,0,760.0,911.0114474162442,48.88849499999992,2438.533498,617.9983079526227
1764216206,350,,Aggregated,96.600000,0.000000,990,1400,1400,1500,2300,2500,2700,2800,2800,2800,2800,693,0,990.0,1078.3073674112554,48.88849499999992,2811.0703710000003,613.6406926406927
1764216207,400,,Aggregated,97.166667,0.000000,1000,1400,1800,1800,2200,2500,2700,2700,2800,2800,2800,795,0,1000.0,1173.9875988515726,48.88849499999992,2811.0703710000003,613.5496855345912
1764216208,450,,Aggregated,97.714286,0.000000,1400,1700,1800,1800,2100,2400,2700,2700,2800,2800,2800,895,0,1400.0,1244.6326215530737,48.88849499999992,2811.0703710000003,614.3217877094972
1764216209,500,,Aggregated,98.375000,0.000000,1400,1800,1900,1900,2600,4200,4500,4600,4700,4700,4700,993,0,1400.0,1491.2133929436066,48.88849499999992,4673.105678000001,614.6384692849949
1764216210,500,,Aggregated,98.444444,0.000000,1500,1800,2100,2500,2800,4100,4500,4600,4700,4700,4700,1097,0,1500.0,1632.2247187511389,48.88849499999992,4673.105678000001,610.1458523245215
1764216211,500,,Aggregated,98.300000,0.000000,1700,1900,2700,2700,2800,4100,4500,4600,4700,4700,4700,1199,0,1700.0,1728.253091043369,48.88849499999992,4673.105678000001,609.8023352793995
1764216212,500,,Aggregated,101.000000,0.000000,1800,2400,2700,2800,4400,4800,5300,5400,5500,5500,5500,1298,0,1800.0,1975.214418550846,48.88849499999992,5485.982677000001,610.1425269645608
1764216213,500,,Aggregated,101.000000,0.000000,1800,2700,2800,3700,4300,4800,5200,5400,5500,5500,5500,1401,0,1800.0,2111.5466723925747,48.88849499999992,5485.982677000001,608.9871520342613
1764216214,500,,Aggregated,100.700000,0.000000,1900,2700,3600,3700,4200,4800,5200,5400,5500,5500,5500,1500,0,1900.0,2212.1316422906643,48.88849499999992,5485.982677000001,610.4053333333334
1764216215,500,,Aggregated,100.900000,0.000000,1900,2800,3600,3700,4300,4900,5400,6800,7000,7000,7000,1587,0,1900.0,2333.1264674139866,48.88849499999992,6980.438359000001,611.2507876496535
1764216216,500,,Aggregated,100.600000,0.000000,2300,3600,3700,3800,4500,5200,6900,7100,7200,7200,7200,1693,0,2300.0,2501.3465698269333,48.88849499999992,7237.602421000001,610.2835203780272
1764216217,500,,Aggregated,99.400000,0.000000,2600,3600,3800,4200,4400,5100,6900,7100,7200,7200,7200,1795,0,2600.0,2597.6707639883007,48.88849499999992,7237.602421000001,610.808356545961
1764216218,500,,Aggregated,99.900000,0.000000,2700,3700,4200,4200,4300,5100,6900,7100,7200,7200,7200,1891,0,2700.0,2681.9725078609204,48.88849499999992,7237.602421000001,611.479111581174
1764216219,500,,Aggregated,99.700000,0.000000,2700,3800,4200,4200,4400,5100,6900,7100,7200,7200,7200,1991,0,2700.0,2764.092312264188,48.88849499999992,7237.602421000001,612.6142641888498
1764216220,500,,Aggregated,99.400000,0.000000,2800,3800,4200,4300,4400,5000,6900,7100,7200,7200,7200,2088,0,2800.0,2836.671395643198,48.88849499999992,7237.602421000001,612.6681034482758
1764216221,500,,Aggregated,99.700000,0.000000,2800,4100,4200,4300,4400,4900,6900,7100,7200,7200,7200,2189,0,2800.0,2897.6957663805356,48.88849499999992,7237.602421000001,612.866605756053
1764216222,500,,Aggregated,98.700000,0.000000,3600,4100,4200,4300,4400,4900,6800,7000,7200,7200,7200,2292,0,3600.0,2952.5352915370827,48.88849499999992,7237.602421000001,612.4402268760907
1764216223,500,,Aggregated,98.800000,0.000000,3600,4100,4200,4200,4400,4800,6800,7000,7200,7200,7200,2396,0,3600.0,3005.474774063018,48.88849499999992,7237.602421000001,612.0567612687813
1764216224,500,,Aggregated,99.200000,0.000000,3700,4200,4200,4200,4400,4800,6800,7000,7200,7200,7200,2494,0,3700.0,3051.0185175621455,48.88849499999992,7237.602421000001,611.8600641539696
1764216225,500,,Aggregated,99.500000,0.000000,3800,4200,4200,4200,4300,4700,5500,7000,7200,7200,7200,2597,0,3800.0,3094.167800405079,48.88849499999992,7237.602421000001,611.8217173661917
1764216226,500,,Aggregated,99.300000,0.000000,3800,4100,4200,4200,4300,4700,5500,7000,7200,7200,7200,2700,0,3800.0,3132.6033834970344,48.88849499999992,7237.602421000001,612.0051851851852
1764216227,500,,Aggregated,100.700000,0.000000,4000,4100,4200,4200,4300,4700,5400,7000,7200,7200,7200,2800,0,4000.0,3164.7202593257152,48.88849499999992,7237.602421000001,612.3057142857143
1764216228,500,,Aggregated,100.400000,0.000000,4000,4100,4200,4200,4300,4600,5400,7000,7200,7200,7200,2896,0,4000.0,3193.416752840127,48.88849499999992,7237.602421000001,611.8283839779006
1764216229,500,,Aggregated,100.300000,0.000000,4000,4100,4200,4200,4300,4600,5400,7000,7200,7200,7200,2995,0,4000.0,3223.80910844775,48.88849499999992,7237.602421000001,611.4534223706177
1764216230,500,,Aggregated,100.400000,0.000000,4000,4100,4200,4200,4300,4600,5400,7000,7200,7200,7200,3096,0,4000.0,3254.8734773078204,48.88849499999992,7237.602421000001,611.343669250646
1764216231,500,,Aggregated,100.400000,0.000000,4100,4200,4200,4200,4300,4600,5400,7000,7200,7200,7200,3195,0,4100.0,3284.646758364948,48.88849499999992,7237.602421000001,611.4704225352112
1764216232,500,,Aggregated,100.400000,0.000000,4100,4200,4200,4200,4300,4500,5400,6900,7200,7200,7200,3293,0,4100.0,3312.763551634078,48.88849499999992,7237.602421000001,612.1664136046159
1764216233,500,,Aggregated,100.400000,0.000000,4100,4200,4200,4200,4300,4500,5300,6900,7200,7200,7200,3397,0,4100.0,3339.7351647318255,48.88849499999992,7237.602421000001,612.3052693553135
1764216234,500,,Aggregated,99.800000,0.000000,4100,4200,4200,4200,4300,4500,5300,6900,7200,7200,7200,3499,0,4100.0,3364.0228053503884,48.88849499999992,7237.602421000001,612.0300085738783
1764216235,500,,Aggregated,99.900000,0.000000,4100,4200,4200,4200,4300,4400,5300,6900,7200,7200,7200,3600,0,4100.0,3386.5479304677815,48.88849499999992,7237.602421000001,611.2869444444444
1764216236,500,,Aggregated,100.300000,0.000000,4100,4200,4200,4200,4300,4400,5300,6900,7200,7200,7200,3691,0,4100.0,3405.9442216082393,48.88849499999992,7237.602421000001,611.7315090761311
1764216237,500,,Aggregated,100.100000,0.000000,4100,4200,4200,4200,4300,4400,5300,6900,7200,7200,7200,3793,0,4100.0,3425.8544270725065,48.88849499999992,7237.602421000001,611.9127339836541
1764216238,500,,Aggregated,99.200000,0.000000,4100,4200,4200,4200,4300,4400,5300,6900,7200,7200,7200,3892,0,4100.0,3444.0427194129056,48.88849499999992,7237.602421000001,612.089928057554
1764216239,500,,Aggregated,99.300000,0.000000,4100,4200,4200,4200,4300,4400,5200,6900,7200,7200,7200,3956,0,4100.0,3458.913760578372,48.88849499999992,7237.602421000001,612.1021233569262
1764216240,500,,Aggregated,99.200000,0.000000,4100,4200,4200,4200,4300,4700,5200,6900,7200,7200,7200,4029,0,4100.0,3482.877584850344,48.88849499999992,7237.602421000001,612.409282700422
1764216241,500,,Aggregated,96.400000,0.000000,4100,4200,4200,4200,4400,4900,5200,6900,7200,7200,7200,4121,0,4100.0,3514.930299028886,48.88849499999992,7237.602421000001,612.788643533123
1764216242,500,,Aggregated,93.500000,0.000000,4100,4200,4200,4200,4600,4900,5200,6900,7200,7200,7200,4223,0,4100.0,3549.1555975702213,48.88849499999992,7237.602421000001,612.6062041202937
1764216243,500,,Aggregated,92.400000,0.000000,4100,4200,4200,4300,4800,4900,5200,6900,7200,7200,7200,4324,0,4100.0,3581.3461835305366,48.88849499999992,7237.602421000001,612.6100832562443
1764216244,500,,Aggregated,92.800000,0.000000,4100,4200,4200,4300,4900,4900,5200,6800,7200,7200,7200,4417,0,4100.0,3606.157265204446,48.88849499999992,7237.602421000001,612.4532488114105
1764216245,500,,Aggregated,92.300000,0.000000,4100,4200,4200,4300,4900,4900,5100,6800,7200,7200,7200,4515,0,4100.0,3625.2354016786358,48.88849499999992,7237.602421000001,612.7133997785161
1764216246,500,,Aggregated,91.600000,0.000000,4200,4200,4300,4400,4800,4900,5100,6800,7200,7200,7200,4610,0,4200.0,3641.5772385117225,48.88849499999992,7237.602421000001,612.3973969631237
1764216247,500,,Aggregated,91.400000,0.000000,4200,4200,4300,4400,4800,4900,5100,6800,7200,7200,7200,4709,0,4200.0,3655.67609276153,48.88849499999992,7237.602421000001,612.2200042471862
1764216248,500,,Aggregated,91.500000,0.000000,4200,4200,4300,4300,4800,4900,5100,6800,7200,7200,7200,4802,0,4200.0,3667.4251325218793,48.88849499999992,7237.602421000001,611.4164931278634
1764216249,500,,Aggregated,91.500000,0.000000,4200,4200,4300,4300,4800,4900,5100,6800,7200,7200,7200,4899,0,4200.0,3679.0798244756197,48.88849499999992,7237.602421000001,611.438865074505
1764216250,500,,Aggregated,90.900000,0.000000,4200,4200,4300,4300,4800,4900,5100,6800,7200,7200,7200,4998,0,4200.0,3690.777473028823,48.88849499999992,7237.602421000001,611.2422969187675
1764216251,500,,Aggregated,93.400000,0.000000,4200,4200,4300,4300,4800,4900,5000,5500,7200,7200,7200,5095,0,4200.0,3704.014834260073,48.88849499999992,7237.602421000001,611.4951913640824
1764216252,500,,Aggregated,96.500000,0.000000,4200,4200,4300,4400,4800,4900,5000,5500,7200,7200,7200,5197,0,4200.0,3717.2272263727273,48.88849499999992,7237.602421000001,611.306522994035
1764216253,500,,Aggregated,97.300000,0.000000,4200,4200,4300,4400,4800,4900,5000,5500,7200,7200,7200,5294,0,4200.0,3727.717509682482,48.88849499999992,7237.602421000001,611.5447676615036
1764216254,500,,Aggregated,97.200000,0.000000,4200,4300,4300,4300,4700,4900,5000,5500,7200,7200,7200,5388,0,4200.0,3737.369014089468,48.88849499999992,7237.602421000001,611.6495916852265
1764216255,500,,Aggregated,97.000000,0.000000,4200,4300,4300,4300,4700,4900,5000,5500,7200,7200,7200,5491,0,4200.0,3747.1410983434826,48.88849499999992,7237.602421000001,611.0994354398106
1764216256,500,,Aggregated,96.800000,0.000000,4200,4300,4300,4300,4700,4900,5000,5400,7200,7200,7200,5587,0,4200.0,3756.191556177391,48.88849499999992,7237.602421000001,611.1770180776804
1764216257,500,,Aggregated,97.200000,0.000000,4200,4300,4300,4300,4700,4900,5000,5400,7200,7200,7200,5685,0,4200.0,3764.7271555454845,48.88849499999992,7237.602421000001,611.1241864555849
1764216258,500,,Aggregated,97.500000,0.000000,4200,4300,4300,4300,4600,4900,5000,5400,7200,7200,7200,5781,0,4200.0,3772.1755898780643,48.88849499999992,7237.602421000001,611.0627919045148
1764216259,500,,Aggregated,97.200000,0.000000,4200,4300,4300,4300,4600,4900,5000,5400,7200,7200,7200,5882,0,4200.0,3779.7082676890645,48.88849499999992,7237.602421000001,611.1678000680041
1764216260,500,,Aggregated,98.100000,0.000000,4200,4300,4300,4300,4600,4900,5000,5400,7200,7200,7200,5985,0,4200.0,3787.2794521679352,48.88849499999992,7237.602421000001,611.3171261487051
1764216261,500,,Aggregated,98.000000,0.000000,4200,4300,4300,4300,4600,4900,5000,5400,7200,7200,7200,6086,0,4200.0,3795.4125939658393,48.88849499999992,7237.602421000001,611.0977653631285
1764216262,500,,Aggregated,98.300000,0.000000,4200,4300,4300,4300,4600,4900,5000,5400,7200,7200,7200,6186,0,4200.0,3803.034800931635,48.88849499999992,7237.602421000001,611.2280956999676
1764216263,500,,Aggregated,99.100000,0.000000,4200,4300,4300,4300,4500,4900,5000,5400,7200,7200,7200,6281,0,4200.0,3808.7320166889162,48.88849499999992,7237.602421000001,611.0017513134851
1764216264,500,,Aggregated,98.600000,0.000000,4200,4300,4300,4300,4500,4900,5000,5400,7200,7200,7200,6383,0,4200.0,3814.132522600671,48.88849499999992,7237.602421000001,610.8909603634654
1764216265,500,,Aggregated,98.400000,0.000000,4200,4200,4300,4300,4500,4900,5000,5400,7200,7200,7200,6481,0,4200.0,3818.593420342552,48.88849499999992,7237.602421000001,610.9902792778892
1764216266,500,,Aggregated,99.500000,0.000000,4200,4200,4300,4300,4500,4900,5000,5400,7200,7200,7200,6583,0,4200.0,3823.881952705618,48.88849499999992,7237.602421000001,610.8991341333739
